日期,時間,產品ID,產品名稱,目前價格
2026-08-14,17:21,157,振華 LEADEX Titanium 2800W/鈦金/ATX3.1(4組PCIe 5.1)/全日系/10年(限220V H型插座),27900
2026-08-14,17:21,159,Montech BETA 2 550W 雙8/銅牌/ATX3.1/主日系/直出壓紋線/5年保,1490
2026-08-14,17:21,160,Montech BETA 2 650W 雙8/銅牌/ATX3.1/主日系/直出壓紋線/5年保,1690
2026-08-14,17:21,161,Montech BETA 2 750W 雙8/銅牌/ATX3.1/主日系/直出壓紋線/5年保,1890
2026-08-14,17:21,162,Montech BETA 2 850W 雙8/銅牌/ATX3.1(PCIe 5.1)/主日系/直出壓紋線/5年保,2090
2026-08-14,17:21,163,Montech GAMMA 3 650W 雙8/金牌/ATX3.1(PCIe 5.1)/主日系/壓紋線/5年保,1890
2026-08-14,17:21,164,Montech GAMMA 3 750W 雙8/金牌/ATX3.1(PCIe 5.1)/主日系/壓紋線/5年保,2190
2026-08-14,17:21,165,Montech GAMMA 3 850W 雙8/金牌/ATX3.1(PCIe 5.1)/主日系/壓紋線/5年保,2490
2026-08-14,17:21,166,Montech CENTURY II 650W 雙8/金牌/全模/ATX3.1(PCIe 5.1)/主日系/智慧停轉/10年,2490
2026-08-14,17:21,167,Montech CENTURY II 850W 雙8/金牌/全模/ATX3.1(PCIe 5.1)/全日系/智慧停轉/10年,2990
2026-08-14,17:21,168,Montech CENTURY II 1050W 雙8/金牌/全模/ATX3.1(PCIe 5.1)/全日系/智慧停轉/10年,3990
2026-08-14,17:21,169,Montech CENTURY II 1200W 雙8/金牌/全模/ATX3.1(PCIe 5.1)/全日系/智慧停轉/10年,4790
2026-08-14,17:21,170,Montech TITAN GOLD 750W 雙8/金牌/全模/ATX3.0(PCIe 5.0)/全日系/智慧停轉/10年,3290
2026-08-14,17:21,171,Montech TITAN GOLD 1200W 雙8/金牌/全模/ATX3.0(PCIe 5.0)/全日系/智慧停轉/10年,4790
2026-08-14,17:21,172,Montech TITAN PLA 750W 白色 雙8/白金/全模/ATX3.1(PCIe 5.1) /智慧停轉/10年,3690
2026-08-14,17:21,173,Montech TITAN PLA 850W 白色 雙8/白金/全模/ATX3.1(PCIe 5.1)/智慧停轉/10年,4290
2026-08-14,17:21,174,Montech TITAN PLA 1000W 白色 雙8/白金/全模/ATX3.1(PCIe 5.1)/智慧停轉/10年,6290
2026-08-14,17:21,175,Montech TITAN PLA 1200W 白色 雙8/白金/全模/ATX3.1(PCIe 5.1)/智慧停轉/10年,7490
2026-08-14,17:21,178,銀欣 300W 銅牌/5年保 (ST30SF.V2.0)【SFX規格】,1790
2026-08-14,17:21,179,銀欣 450W 銅牌/5年保 (ST45SF.V3.0)【SFX規格】,2190
2026-08-14,17:21,180,銀欣 Extreme 550Rz(550W) Gold 雙8/金牌/全模組/主日系/ATX3.1/5年保【SFX規格】,2490
2026-08-14,17:21,181,銀欣 Extreme 650Rz(650W) Gold 雙8/金牌/全模組/主日系/ATX3.1/5年保【SFX規格】,2790
2026-08-14,17:21,182,銀欣 450W 銅牌/直出線/5年保(ET450-B),1350
2026-08-14,17:21,183,銀欣 650W 雙8/銅牌/直出線/扁平線/5年保(ET650-B),1690
2026-08-14,17:21,184,銀欣 ATTIS 650R(650W) 白 雙8/銅牌/直出線/扁平線/主日系/ATX3.1/5年保,1990
2026-08-14,17:21,185,銀欣 ATTIS 750R(750W) 黑 雙8/銅牌/直出線/扁平線/主日系/ATX3.1/5年保,2090
2026-08-14,17:21,186,銀欣 Triton 650Rx(650W) 雙8/金牌/直出線/主日系/ATX3.1(PCIe 5.1)/5年,2090
2026-08-14,17:21,187,銀欣 Triton 750Rx(750W) 雙8/金牌/直出線/主日系/ATX3.1(PCIe 5.1)/5年,2290
2026-08-14,17:21,188,銀欣 Triton 850Rx(850W) 雙8/金牌/直出線/主日系/ATX3.1(PCIe 5.1)/5年,2490
2026-08-14,17:21,189,銀欣 DA750R Gold(750W) 黑色 雙8/金牌/全模組/主日系/ATX3.0(PCIe 5.0)/5年,2590
2026-08-14,17:21,190,銀欣 DA750R Gold(750W) 白色 雙8/金牌/全模組/主日系/ATX3.0(PCIe 5.0)/5年,2690
2026-08-14,17:21,191,銀欣 DA850R Gold(850W) 黑色 雙8/金牌/全模組/主日系/ATX3.0(PCIe 5.0)/5年,2890
2026-08-14,17:21,192,銀欣 DA850R Gold(850W) 白色 雙8/金牌/全模組/主日系/ATX3.0(PCIe 5.0)/5年,2990
2026-08-14,17:21,193,銀欣 HELA 850R Platinum(850W) 雙8/白金/全模組/全日系/ATX3.0(PCIe 5.0)/5年保,3590
2026-08-14,17:21,196,酷碼 V SFX GOLD 850W ATX3.1 黑色 雙8/金牌/全模組(PCIe 5.1)/10年【SFX規格】,4690
2026-08-14,17:21,197,酷碼 V SFX GOLD 850W ATX3.1 白色 雙8/金牌/全模組(PCIe 5.1)/10年【SFX規格】,4690
2026-08-14,17:21,198,酷碼 MWE BRONZE V2 450W 銅牌/DC-DC+LLC/5年保/2020年版,1490
2026-08-14,17:21,199,酷碼 MWE GOLD V3 550W 黑色 雙8/金牌/直出線/ATX3.1/5年,1690
2026-08-14,17:21,200,酷碼 MWE GOLD V3 550W 白色 雙8/金牌/直出線/ATX3.1/5年,1690
2026-08-14,17:21,201,酷碼 MWE GOLD V3 650W 黑色 雙8/金牌/直出線/ATX3.1/5年,1990
2026-08-14,17:21,202,酷碼 MWE GOLD V3 650W 白色 雙8/金牌/直出線/ATX3.1/5年,1990
2026-08-14,17:21,203,酷碼 MWE GOLD V3 750W 黑色 雙8/金牌/直出線/ATX3.1(PCIe 5.1)/5年,2290
2026-08-14,17:21,204,酷碼 MWE GOLD V3 750W 白色 雙8/金牌/直出線/ATX3.1(PCIe 5.1)/5年,2290
2026-08-14,17:21,205,酷碼 MWE GOLD V3 850W 黑色 雙8/金牌/直出線/ATX3.1(PCIe 5.1)/5年,2490
2026-08-14,17:21,206,酷碼 MWE GOLD V3 850W 白色 雙8/金牌/直出線/ATX3.1(PCIe 5.1)/5年,2490
2026-08-14,17:21,207,酷碼 GX II GOLD 750W 雙8/金牌/全模組/ATX3.1(PCIe 5.1垂直線)/主日系/10年,2790
2026-08-14,17:21,208,酷碼 MWE GOLD V4 850W 黑色 雙8/金牌/全模組/ATX3.1(PCIe 5.1)LED警示燈/10年,3390
2026-08-14,17:21,209,酷碼 MWE GOLD V4 850W 白色 雙8/金牌/全模組/ATX3.1(PCIe 5.1)LED警示燈/10年,3390
2026-08-14,17:21,210,酷碼 V Platinum V2 1100W 雙8/白金/全模組/ATX3.1(PCIe 5.1垂直線)/12年,6250
2026-08-14,17:21,211,酷碼 V Platinum V2 1300W 雙8/白金/全模組/ATX3.1(PCIe 5.1垂直線)/12年,7250
2026-08-14,17:21,212,酷碼 V Platinum V2 1600W 雙8/白金/全模組/ATX3.1(PCIe 5.1垂直線)/12年,10750
2026-08-14,17:21,213,酷碼 X Silent Max Platinum 1300W 雙8/白金/全模組/數位靜音電源/ATX3.1(PCIe 5.0)/15年,11990
2026-08-14,17:21,215,XPG CORE PYLON II 550W 雙8/銅牌/ATX3.1(PCIe 5.1)/5年保,1590
2026-08-14,17:21,216,XPG CORE PYLON II 650W 雙8/銅牌/ATX3.1(PCIe 5.1)/5年保,1790
2026-08-14,17:21,217,XPG CORE PYLON II 750W 雙8/銅牌/ATX3.1(PCIe 5.1)/5年保,1990
2026-08-14,17:21,218,XPG KYBER II 750W 雙8/金牌/半模/ATX3.1(PCIe 5.1)/主日系/5年保,2290
2026-08-14,17:21,219,XPG KYBER II 850W 雙8/金牌/半模/ATX3.1(PCIe 5.1)/主日系/5年保,2590
2026-08-14,17:21,220,XPG CORE REACTOR II VE 750W 雙8/金牌/全模/ATX3.1(PCIe 5.1)/7年保 原價,2790
2026-08-14,17:21,222,XPG CORE REACTOR II VE 850W 雙8/金牌/全模/ATX3.1(PCIe 5.1)/7年保 原價,3190
2026-08-14,17:21,223,XPG CORE REACTOR II 750W 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/全日系/10年保,3290
2026-08-14,17:21,224,XPG CORE REACTOR II 850W 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/全日系/10年保,3690
2026-08-14,17:21,225,XPG CORE REACTOR II 850W 白色/雙8/金牌/全模組/ATX3.0(PCIe 5.0)/全日系/10年保,3990
2026-08-14,17:21,226,XPG CORE REACTOR II 1000W 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/全日系/10年保,4590
2026-08-14,17:21,227,XPG CORE REACTOR II 1200W 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/全日系/10年保,5590
